,cluster,model,signal_id
0,0,SNN,40
1,1,SNN,101
2,0,SNN,102
3,0,SNN,103
4,0,SNN,104
5,0,SNN,105
6,0,SNN,106
7,0,SNN,107
8,0,SNN,108
9,0,SNN,109
10,0,SNN,110
11,0,SNN,111
12,0,SNN,112
13,0,SNN,113
14,0,SNN,114
15,0,SNN,115
16,0,SNN,116
17,0,SNN,117
18,0,SNN,118
19,0,SNN,119
20,0,SNN,120
21,0,SNN,121
22,0,SNN,122
23,0,SNN,123
24,0,SNN,124
25,0,SNN,125
26,0,SNN,126
27,0,SNN,127
28,0,SNN,128
29,0,SNN,284
30,0,SNN,285
31,0,SNN,286
32,0,SNN,287
33,0,SNN,288
34,0,SNN,289
35,0,SNN,290
36,0,SNN,291
37,0,SNN,292
38,0,SNN,293
39,0,SNN,295
40,0,SNN,296
41,0,SNN,297
42,0,SNN,298
43,0,SNN,299
44,0,SNN,300
45,0,SNN,301
46,0,SNN,302
47,0,SNN,303
48,0,SNN,304
49,0,SNN,305
50,0,SNN,306
51,0,SNN,307
52,0,SNN,308
53,0,SNN,309
54,0,SNN,310
55,0,SNN,40
56,0,SNN,101
57,0,SNN,102
58,0,SNN,103
59,0,SNN,104
60,0,SNN,105
61,0,SNN,106
62,0,SNN,107
63,0,SNN,108
64,0,SNN,109
65,0,SNN,110
66,0,SNN,111
67,0,SNN,112
68,0,SNN,113
69,0,SNN,114
70,0,SNN,115
71,0,SNN,116
72,0,SNN,117
73,3,NMM,118
74,1,NMM,119
75,3,NMM,120
76,1,NMM,121
77,1,NMM,122
78,1,NMM,123
79,1,NMM,124
80,1,NMM,125
81,1,NMM,126
82,1,NMM,127
83,3,NMM,128
84,1,NMM,284
85,1,NMM,285
86,1,NMM,286
87,1,NMM,287
88,1,NMM,288
89,1,NMM,289
90,1,NMM,290
91,1,NMM,291
92,3,NMM,292
93,1,NMM,293
94,2,NMM,295
95,1,NMM,296
96,1,NMM,297
97,1,NMM,298
98,1,NMM,299
99,1,NMM,300
100,1,NMM,301
101,1,NMM,302
102,1,NMM,303
103,1,NMM,304
104,2,NMM,305
105,1,NMM,306
106,1,NMM,307
107,1,NMM,308
108,3,NMM,309
109,3,NMM,310
110,1,NMM,11
111,1,NMM,12
112,1,NMM,13
113,1,NMM,14
114,1,NMM,30
115,1,NMM,32
116,1,NMM,33
117,1,NMM,49
118,3,NMM,50
119,1,NMM,51
120,2,NMM,52
121,3,NMM,53
122,1,NMM,70
123,1,NMM,71
124,1,NMM,85
125,1,NMM,87
126,1,NMM,88
127,1,NMM,89
128,1,NMM,11
129,1,NMM,12
130,3,NMM,13
131,1,NMM,14
132,1,NMM,30
133,1,NMM,32
134,1,NMM,33
135,1,NMM,49
136,1,NMM,50
137,1,NMM,51
138,1,NMM,52
139,1,NMM,53
140,1,NMM,70
141,1,NMM,71
142,3,NMM,85
143,1,NMM,87
144,1,NMM,88
145,1,NMM,89
