,cluster,model,signal_id
0,0,SNN,1
1,0,SNN,2
2,0,SNN,3
3,0,SNN,4
4,0,SNN,5
5,0,SNN,6
6,0,SNN,7
7,0,SNN,8
8,0,SNN,9
9,0,SNN,10
10,1,SNN,11
11,0,SNN,12
12,0,SNN,13
13,0,SNN,14
14,0,SNN,15
15,0,SNN,16
16,0,SNN,17
17,0,SNN,18
18,0,SNN,19
19,0,SNN,208
20,0,SNN,210
21,0,SNN,211
22,0,SNN,213
23,0,SNN,214
24,0,SNN,215
25,0,SNN,216
26,0,SNN,217
27,0,SNN,218
28,0,SNN,219
29,0,SNN,220
30,0,SNN,221
31,0,SNN,222
32,0,SNN,223
33,0,SNN,224
34,0,SNN,225
35,0,SNN,226
36,0,SNN,227
37,0,SNN,228
38,0,SNN,229
39,0,SNN,231
40,0,SNN,232
41,1,SNN,233
42,0,SNN,234
43,0,SNN,235
44,0,SNN,236
45,0,SNN,237
46,0,SNN,238
47,0,SNN,239
48,0,SNN,240
49,1,SNN,241
50,0,SNN,242
51,0,SNN,243
52,0,SNN,244
53,1,SNN,245
54,0,SNN,246
55,0,SNN,247
56,0,SNN,249
57,0,SNN,250
58,0,SNN,252
59,0,SNN,253
60,0,SNN,254
61,0,SNN,255
62,0,SNN,1
63,0,SNN,2
64,0,SNN,3
65,0,SNN,4
66,0,SNN,5
67,0,SNN,6
68,0,SNN,7
69,0,SNN,8
70,0,SNN,9
71,0,SNN,10
72,0,SNN,11
73,0,SNN,12
74,0,SNN,13
75,0,SNN,14
76,0,SNN,15
77,0,SNN,16
78,0,SNN,17
79,0,SNN,18
80,0,SNN,19
81,0,SNN,208
82,0,SNN,210
83,0,NMM,211
84,0,NMM,213
85,0,NMM,214
86,0,NMM,215
87,0,NMM,216
88,0,NMM,217
89,0,NMM,218
90,0,NMM,219
91,0,NMM,220
92,0,NMM,221
93,0,NMM,222
94,0,NMM,223
95,0,NMM,224
96,0,NMM,225
97,0,NMM,226
98,0,NMM,227
99,0,NMM,228
100,0,NMM,229
101,0,NMM,231
102,0,NMM,232
103,0,NMM,233
104,0,NMM,234
105,0,NMM,235
106,0,NMM,236
107,0,NMM,237
108,0,NMM,238
109,0,NMM,239
110,0,NMM,240
111,0,NMM,241
112,0,NMM,242
113,0,NMM,243
114,0,NMM,244
115,0,NMM,245
116,0,NMM,246
117,0,NMM,247
118,0,NMM,249
119,0,NMM,250
120,0,NMM,252
121,0,NMM,253
122,0,NMM,254
123,0,NMM,255
124,0,NMM,0
125,0,NMM,1
126,0,NMM,2
127,0,NMM,3
128,0,NMM,4
129,0,NMM,20
130,0,NMM,21
131,0,NMM,22
132,0,NMM,23
133,0,NMM,24
134,0,NMM,40
135,0,NMM,41
136,0,NMM,42
137,0,NMM,43
138,0,NMM,59
139,0,NMM,61
140,0,NMM,62
141,0,NMM,76
142,0,NMM,77
143,0,NMM,78
144,0,NMM,79
145,0,NMM,0
146,0,NMM,1
147,0,NMM,2
148,0,NMM,3
149,0,NMM,4
150,0,NMM,20
151,0,NMM,21
152,0,NMM,22
153,0,NMM,23
154,0,NMM,24
155,0,NMM,40
156,0,NMM,41
157,0,NMM,42
158,0,NMM,43
159,0,NMM,59
160,0,NMM,61
161,0,NMM,62
162,0,NMM,76
163,0,NMM,77
164,0,NMM,78
165,0,NMM,79
